Word,Pinyin,Translation,Sentence,Sentence Pinyin,Sentence Translation
我,wǒ,I,我是他的朋友。,Wǒ shì tā de péngyou.,I'm a friend of his.
我,wǒ,I,老师们都喜欢我。,Lǎoshīmen dōu xǐhuan wǒ.,All my teachers like me.
是,shì,to be,他是我的朋友。,Tā shì wǒ de péngyou.,He's a friend of mine.
是,shì,to be,这是我的书。,Zhè shì wǒ de shū.,This is my book.
人,rén,person,我认识那个人。,Wǒ rènshi nàge rén.,I know that person.
人,rén,person,那个人是谁？,Nàge rén shì shuí?,Who is that?
你,nǐ,you (singular),你在做什么？,Nǐ zài zuò shénme?,What are you doing?
你,nǐ,you (singular),你会说汉语吗？,Nǐ huì shuō Hànyǔ ma?,Can you speak Chinese?
的,de,"of, function word indicating possession",这是我的书。,Zhè shì wǒ de shū.,This is my book.
的,de,"of, function word indicating possession",她是我的老师。,Tā shì wǒ de lǎoshī.,She's my teacher.
去,qù,"to go, to leave",我去公园了。,Wǒ qù gōngyuán le.,I went to the park.
去,qù,"to go, to leave",你去过那里吗？,Nǐ qùguò nàlǐ ma?,Did you go there?
有,yǒu,"to have, to possess, to exist",我有一本书。,Wǒ yǒu yì běn shū.,I have a book.
有,yǒu,"to have, to possess, to exist",教室有十个学生。,Jiàoshì yǒu shí gè xuésheng.,There are ten students in the classroom.
吃,chī,to eat,我在吃午饭。,Wǒ zài chī wǔfàn.,I'm eating lunch.
吃,chī,to eat,晚饭吃什么？,Wǎnfàn chī shénme?,What are you having for dinner?
他,tā,he,他是我的同学。,Tā shì wǒ de tóngxué.,He is my classmate.
他,tā,he,他喜欢看书。,Tā xǐhuan kànshū.,He likes to read.
不,bù,"not, no",他不喜欢吃肉。,Tā bù xǐhuan chī ròu.,He doesn't like eating meat.
不,bù,"not, no",他不会写字。,Tā bú huì xiězì.,He can't write.
在,zài,"to be at, to be on, to be in; at, on, in",你在干什么？,Nǐ zài gàn shénme?,What are you doing?
在,zài,"to be at, to be on, to be in; at, on, in",他站在门口。,Tā zhàn zài ménkǒu.,He's standing at the entrance.
要,yào,"to want; shall, will, must",我要一本书。,Wǒ yào yì běn shū.,I want a book.
要,yào,"to want; shall, will, must",他要出发了。,Tā yào chūfā le.,He has to leave.
喝,hē,to drink,他喜欢喝酒。,Tā xǐhuan hējiǔ.,He likes drinking alcohol.
喝,hē,to drink,你想喝什么？,Nǐ xiǎng hē shénme?,What do you want to drink?
到,dào,"to arrive, to reach; verb complement indicating completion",他到家了。,Tā dào jiā le.,He arrived home.
到,dào,"to arrive, to reach; verb complement indicating completion",火车到站了。,Huǒchē dàozhàn le.,The train arrived in the station.
大,dà,"big, large, great",这座城市很大。,Zhè zuò chéngshì hěn dà.,This is a huge city.
大,dà,"big, large, great",我的房间很大。,Wǒ de fángjiān hěn dà.,My room is very large.
新,xīn,"new, up-to-date",这是最新的书。,Zhè shì zuì xīn de shū.,This is the latest book.
新,xīn,"new, up-to-date",我认识了新朋友。,Wǒ rènshile xīn péngyou.,I have made a new friend.
这,zhè,"this, this moment",这本书是我的。,Zhè běn shū shì wǒ de.,This book is mine.
这,zhè,"this, this moment",这时候天黑了。,Zhè shíhou tiān hēi le.,The sun went down at this time.
个,gè,general measure word,那个人是谁？,Nàge rén shì shuí?,Who is that?
个,gè,general measure word,他一个人在公司。,Tā yí gè rén zài gōngsī.,He's at the company by himself.
来,lái,"to come, to arrive, to take place",我回来了。,Wǒ huílái le.,I'm back.
来,lái,"to come, to arrive, to take place",他来到房间。,Tā láidào fángjiān.,He came into the room.
书,shū,book,这本书很好看。,Zhè běn shū hěn hǎokàn.,This book is very interesting.
书,shū,book,我买了三本书。,Wǒ mǎile sān běn shū.,I bought three books.
多,duō,"many, much, more than; to what degree",公园里有很多人。,Gōngyuán li yǒu hěn duō rén.,There are many people in the park.
多,duō,"many, much, more than; to what degree",这本书多少钱？,Zhè běn shū duōshao qián?,How much is this book?
很,hěn,"very, quite",这朵花很漂亮。,Zhè duǒ huā hěn piàoliang.,This flower is very pretty.
很,hěn,"very, quite",我很喜欢这里。,Wǒ hěn xǐhuan zhèlǐ.,I like this place very much.
好,hǎo,"good, nice; quite, very",今天的天气真好。,Jīntiān de tiānqì zhēn hǎo.,The weather is really nice today.
好,hǎo,"good, nice; quite, very",那个小孩好可爱。,Nàge xiǎohái hǎo kě'ài.,That child is really cute.
男,nán,male,我认识那个男老师。,Wǒ rènshi nàge nán lǎoshī.,I know that male teacher.
男,nán,male,那个男孩很可爱。,Nàge nánhái hěn kě'ài.,That boy's very cute.
说,shuō,"to say, to speak, to talk, to explain",他说话说得很大声。,Tā shuōhuà shuō de hěn dàshēng.,He talks very loudly.
说,shuō,"to say, to speak, to talk, to explain",他对我说“你好”！,"Tā duì wǒ shuō ""nǐ hǎo""!",He said hi to me.
了,le,particle indicating completion or change,他走了。,Tā zǒu le.,He left.
了,le,particle indicating completion or change,工作完成了。,Gōngzuò wánchéng le.,The work is completed.
谁,shuí,"who, someone, anyone",这是谁的主意？,Zhè shì shuí de zhǔyi?,Whose idea is this?
谁,shuí,"who, someone, anyone",他是谁？,Tā shì shuí?,Who's he?
也,yě,"also, too, either",我也喜欢看书。,Wǒ yě xǐhuan kànshū.,I also like to read.
也,yě,"also, too, either",我也买了这本书。,Wǒ yě mǎile zhè běn shū.,I also bought this book.
还,hái,"still, yet",他还在跑步。,Tā hái zài pǎobù.,He's still running.
还,hái,"still, yet",我还没吃饭。,Wǒ hái méi chīfàn.,I haven't eaten yet.
会,huì,"can, be able to; to meet, to see, to understand; meeting",我会说汉语。,Wǒ huì shuō Hànyǔ.,I can speak Chinese.
会,huì,"can, be able to; to meet, to see, to understand; meeting",他们正在开会。,Tāmen zhèngzài kāihuì.,They are having a meeting.
做,zuò,"to make, to do, to act, to become",我会做衣服。,Wǒ huì zuò yīfu.,I know how to make clothes.
做,zuò,"to make, to do, to act, to become",她在做作业。,Tā zài zuò zuòyè.,She's doing her homework.
给,gěi,"to give, to present; for, to, towards",他给了我一本书。,Tā gěile wǒ yì běn shū.,He gave me a book.
给,gěi,"to give, to present; for, to, towards",她在给孩子洗澡。,Tā zài gěi háizi xǐzǎo.,She's giving her child a bath.
女,nǚ,"woman, girl, female",那个女孩很漂亮。,Nàge nǚhái hěn piàoliang.,That girl is very pretty.
女,nǚ,"woman, girl, female",她是女演员。,Tā shì nǚyǎnyuán.,She's an actress.
小,xiǎo,"small, little, young",他还是小孩子。,Tā háishi xiǎoháizi.,He's still a child.
小,xiǎo,"small, little, young",这座足球场太小。,Zhè zuò zúqiúchǎng tài xiǎo.,This soccer field is too small.
用,yòng,"to use, to spend",我会用筷子。,Wǒ huì yòng kuàizi.,I can use chopsticks.
用,yòng,"to use, to spend",他工作用了一小时。,Tā gōngzuò yòngle yì xiǎoshí.,His work took an hour.
月,yuè,"moon, month",她很喜欢赏月。,Tā hěn xǐhuan shǎngyuè.,She really enjoys looking at the moon.
月,yuè,"moon, month",我们下个月考试。,Wǒmen xià gè yuè kǎoshì.,We have examinations next month.
家,jiā,"family, home; counter for families or enterprises",我家有四个人。,Wǒ jiā yǒu sì gè rén.,There are four people in my family.
家,jiā,"family, home; counter for families or enterprises",这是我的家。,Zhè shì wǒ de jiā.,This is my house.
能,néng,"can, be able, be allowed",你能说汉语吗？,Nǐ néng shuō Hànyǔ ma?,Can you speak Chinese?
能,néng,"can, be able, be allowed",我能看你的书吗？,Wǒ néng kàn nǐ de shū ma?,Can I read your book?
高,gāo,"tall, high",我比他高。,Wǒ bǐ tā gāo.,I am taller than him.
高,gāo,"tall, high",这里的树很高。,Zhèlǐ de shù hěn gāo.,The trees here are very tall.
每,měi,"every, each; each, per",我每天都刷牙。,Wǒ měi tiān dōu shuāyá.,I brush my teeth every day.
每,měi,"every, each; each, per",每人付10块钱。,Měi rén fù shí kuài qián.,The cost is 10 yuan per person.
那,nà,"that; then, in that case",那是什么东西？,Nà shì shénme dōngxi?,What's that?
那,nà,"that; then, in that case",那我们就不等你了。,Nà wǒmen jiù bù děng nǐ le.,If that's the case we won't wait for you.
水,shuǐ,water,请给我一杯水。,Qǐng gěi wǒ yì bēi shuǐ.,Please give me a glass of water.
水,shuǐ,water,水喝完了。,Shuǐ hēwán le.,I finished drinking the water.
想,xiǎng,"would like to; to plan, to think",你在想什么？,Nǐ zài xiǎng shénme?,What are you thinking about?
想,xiǎng,"would like to; to plan, to think",我想打棒球。,Wǒ xiǎng dǎ bàngqiú.,I want to play baseball.
钱,qián,"money, wealth",钱能买东西。,Qián néng mǎi dōngxi.,Money can buy things.
钱,qián,"money, wealth",他很有钱。,Tā hěn yǒu qián.,He's a rich man.
见,jiàn,"to see, to meet",我见到老师了。,Wǒ jiàndào lǎoshī le.,I saw the teacher.
见,jiàn,"to see, to meet",咱们北京见！,Zánmen Běijīng jiàn!,Let's meet in Beijing.
名字,míngzi,name,你叫什么名字？,Nǐ jiào shénme míngzi?,What's your name?
名字,míngzi,name,我不知道他的名字。,Wǒ bù zhīdào tā de míngzi.,I don't know his name.
什么,shénme,what,这是什么东西？,Zhè shì shénme dōngxi?,What kind of thing is this?
什么,shénme,what,你在说什么？,Nǐ zài shuō shénme?,What are you talking about?
东西,dōngxi,thing,这东西是我的。,Zhè dōngxi shì wǒ de.,This is my stuff.
东西,dōngxi,thing,那是什么东西？,Nà shì shénme dōngxi?,What kind of thing is that?
现在,xiànzài,"now, at present",现在几点钟？,Xiànzài jǐ diǎn zhōng?,What time is it now?
现在,xiànzài,"now, at present",我现在不需要这本书。,Wǒ xiànzài bù xūyào zhè běn shū.,I don't need this book now.
工作,gōngzuò,"work, job; to work",我的工作是教书。,Wǒ de gōngzuò shì jiāoshū.,I'm a teacher.
工作,gōngzuò,"work, job; to work",今天的工作很多。,Jīntiān de gōngzuò hěn duō.,There's a lot of work today.
可以,kěyǐ,"can, may; not bad",我可以做到。,Wǒ kěyǐ zuòdào.,I can make it.
可以,kěyǐ,"can, may; not bad",这部电影还可以。,Zhè bù diànyǐng hái kěyǐ.,This movie isn't too bad.
时间,shíjiān,"time, duration",这工作很花时间。,Zhè gōngzuò hěn huā shíjiān.,This work is taking a long time to complete.
时间,shíjiān,"time, duration",上课的时间到了。,Shàngkè de shíjiān dào le.,It's time to start class now.
今天,jīntiān,Today,今天天气很好。,Jīntiān tiānqì hěn hǎo.,The weather is nice today.
今天,jīntiān,Today,今天是星期一。,Jīntiān shì xīngqīyī.,Today is Monday.
学校,xuéxiào,school,他去学校了。,Tā qù xuéxiào le.,He went to school.
学校,xuéxiào,school,学校里很安静。,Xuéxiào li hěn ānjìng.,It's very quiet inside the school.
但是,dànshì,"but, however",衣服很漂亮，但是太贵了。,"Yīfu hěn piàoliang, dànshì tài guì le.","The clothes are beautiful, but they're too expensive."
但是,dànshì,"but, however",雨很大，但是他还是出门了。,"Yǔ hěn dà, dànshì tā háishi chūmén le.",He went out though it was raining heavily.
学生,xuésheng,student,他是我的学生。,Tā shì wǒ de xuésheng.,He's a student of mine.
